categorie,name,unitTogramme,energieKcal,energieKj,eau,proteines,glucides,sucres,lipides,agSature,fibres,sel,sodium,calcium,fer,vitamineD,vitamineC,vegan,glutenFree,pregnantPermission,Code CIQUAL,Emballage,EF(mPt/kg),ChangementClimatique(kgCO2eq/kg),AppauvrissementCoucheOzone(E-06kgCVC11eq/kg),RayonnementsIonisants(kBqU-235eq/kg),FormationPhotochimiqueOzone(E-03kgNMVOCeq/kg),Particules (E-06 disease inc./kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation terreste (mol N eq/kg),Eutrophisation eaux douces (E-03 kg P eq/kg),Eutrophisation marine (E-03 kg N eq/kg),Utilisation du sol (Pt/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (E-06 kg Sb eq/kg)
LEGUMES,Mâche crue,null,16.8,70.2912,93.7,2,0.5,0,0.5,0.01,2.3,0.013,5,41,0.4,0,2.38,TRUE,TRUE,TRUE,20099,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Chanterelle,null,33.1,138.4904,88.7,2.28,2.3,1.87,0.78,0.5,4.23,0.016,5,8.33,3.52,5.3,5.5,TRUE,TRUE,TRUE,20103,,,,,,,,,,,,,,,,
LEGUMES,Girolle,null,33.1,138.4904,88.7,2.28,2.3,1.87,0.78,0.5,4.23,0.016,5,8.33,3.52,5.3,5.5,TRUE,TRUE,TRUE,20103,,,,,,,,,,,,,,,,
LEGUMES,Morille,null,24.5,102.508,89.6,3.16,0.1,0.044,0.54,0.16,3.35,0.064,21,43,1.2,5.1,5,TRUE,TRUE,TRUE,20105,Pas d'emballage,0.08287856,0.40242191,0.086491632,0.39557695,1.0945239999999998,0.019567925,0.0017892903,0.0051228869,0.10335514,2.4013624,20.472943,18.994836,3.5563104,11.694008,1.6371136
LEGUMES,Truffe noire,null,92,384.928,75.9,5.77,0,0.7,0.51,0.11,8.5,0.17,66,24,3.5,0,1,TRUE,TRUE,TRUE,20106,,,,,,,,,,,,,,,,
LEGUMES,Oseille crue,null,23.2,97.0688,93,1.84,1.6,1.54,0.65,0.1,1.8,0.009,4,44,2.4,0,48,TRUE,TRUE,TRUE,20111,Pas d'emballage,0.096024795,0.56232104,0.090391843,0.39215986,1.6368296,0.044034146,0.0033459229,0.018125961,0.09596697,1.2040727,-1.6856028,14.526104,2.600548,13.542212,4.6411138
LEGUMES,Pleurote,null,25.5,106.692,89.2,03.06,1.5,0.71,0.36,0.062,2.4,0.034,13.5,5,1.17,0.7,4,TRUE,TRUE,TRUE,20114,,,,,,,,,,,,,,,,
LEGUMES,Piment cru,null,36.6,153.1344,87.9,1.87,7.7,5.3,0.32,0.031,1.65,0.02,8,14,1.12,0,155,TRUE,TRUE,TRUE,20151,Pas d'emballage,0.34422749,3.8090038,0.18186818,0.47179791,14.167553,0.22266641,0.01852356,0.024012878,1.2468687,3.0975717,15.618925,118.19931,1.4723252,39.433952,2.4422845
LEGUMES,Oronge,null,23.2,97.0688,92.9,2,2.45,1,0.3,0.07,1.7,0.013,5,17,1.1,2.1,3,TRUE,TRUE,TRUE,20159,,,,,,,,,,,,,,,,
LEGUMES,Cèpe,null,31.6,132.2144,90.3,3.13,03.03,1.7,0.43,0.071,1.93,0.024,5,23,1,3.1,3,TRUE,TRUE,TRUE,20160,,,,,,,,,,,,,,,,
